title,neighborhood,price,url,description
Casa adosada  Carrer de cabrera. Casa adosada,Barcelona - Sant Andreu,450.000 €,https://www.habitaclia.com/comprar-casa_adosada-en_sant_andreu-barcelona-i10024004256903.htm?f=&from=list&lo=55,"Casa a reformar de 222m2. Situada al centre del barri de Sant Andreu, al casc antic, a 5 minuts del carrer principal, e..."
Piso  en  Sant Andreu. Oportunidad! piso para reformar en sant andreu con muchas posibi,Barcelona - Sant Andreu,169.000 €,https://www.habitaclia.com/comprar-piso-oportunidad_para_reformar_en_sant_andreu_con_muchas_posibi_sant_andreu-barcelona-i10912002415444.htm?f=&from=list&lo=55,"Para más información o concertar visita podéis llamar o enviar whatsup a Miquel.
 MC CONSULTING VENDE este pis..."
Casa  en  Sant Andreu. Casa con 3 habitaciones con calefacción y aire acondicionado,Barcelona - Sant Andreu,580.000 €,https://www.habitaclia.com/comprar-casa-con_3_habitaciones_con_calefaccion_y_aire_acondicionado_sant_andreu-barcelona-i4553004323348.htm?f=&from=list&lo=55,Excepcional casa distribuida en dos plantas con patio y  terraza. Situada en inmejorable ubicación próxima al ayuntamien...
Piso  Carrer de joan torras. Sant andreu centro- pieza exclusiva con gran terraza a nivel.,Barcelona - Sant Andreu,339.900 €,https://www.habitaclia.com/comprar-piso-sant_andreu_centro_pieza_exclusiva_con_gran_terraza_a_nivel_sant_andreu-barcelona-i32937000000099.htm?f=&from=list&lo=55,"Increíble oportunidad en el emblemático barrio de Sant Andreu, se trata de un amplio piso con una terraza a nivel de 40m..."
Piso  Carrer de malats. Piso  con plaza de parking en centro histórico de sant andreu.,Barcelona - Sant Andreu,279.990 €,https://www.habitaclia.com/comprar-piso-con_plaza_de_parking_en_centro_historico_de_sant_andreu_sant_andreu-barcelona-i32937000000095.htm?f=&from=list&lo=55,"Le presentamos este fantástico inmueble de 4 habitaciones 2 baños, balcón y ascensor.  Consta de amplio salón con salid..."
Piso  en  Carrer de sant hipòlit. Reformat,Barcelona - Sant Andreu,220.000 €,https://www.habitaclia.com/comprar-piso-reformat_calle_de_sant_hipolit_sant_andreu-barcelona-i10024004256892.htm?f=&from=list&lo=55,"Pis de 74m2, reformat de fa poc temps, impecable. Exterior a al carrer, ben orientat. A 5 minuts del carrer principal,..."
Piso  Carrer gran de sant andreu,Barcelona - Sant Andreu,478.000 €,https://www.habitaclia.com/comprar-piso-sant_andreu-barcelona-i4027004298225.htm?f=&from=list&lo=55,Dolça Llar presenta en exclusiva este excelente piso totalmente exterior orientado al este (Mar) y oeste (montaña) de 10...
Piso  en  Carrer de servet 17. Piso con 3 habitaciones,Barcelona - Sant Andreu,239.000 €,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_calle_de_servet_17_sant_andreu-barcelona-i10024004256936.htm?f=&from=list&lo=55,"Pis de 62m2 al centre del barri, a 5 minuts del carrer principal. Reformat, exterior al carrer i a pati d'illa.  Zona..."
Casa  en  Carrer de rubén darío 95. Pati de 62m2,Barcelona - Sant Andreu,570.000 €,https://www.habitaclia.com/comprar-casa-pati_de_62m2_calle_de_ruben_dario_95_sant_andreu-barcelona-i10024004256871.htm?f=&from=list&lo=55,"Casa per reformar amb ascensor interior privat , situada al Casc Antic de Sant Andreu, a prop del mercat i del carrer pr..."
"Piso  Carrer gran de sant andreu. Excelente ubicación. vistas , exterior y balcón.",Barcelona - Sant Andreu,229.990 €,https://www.habitaclia.com/comprar-piso-excelente_ubicacion_vistas_exterior_y_balcon_sant_andreu-barcelona-i32937000000101.htm?f=&from=list&lo=55,Vivienda en venta en GRAN SANT ANDREU.  Si Real Estate ofrece esta magnífica vivienda en la calle de referencia de Sant...
Piso  en  Carrer de castellbell 7. Plaça de les palmeres,Barcelona - Sant Andreu,199.500 €,https://www.habitaclia.com/comprar-piso-placa_de_les_palmeres_calle_de_castellbell_7_sant_andreu-barcelona-i10024004256918.htm?f=&from=list&lo=55,"Pis situat al costat de la Plaça de les Palmeres.  Molt tranquil i molt ben comunicat, al centre del barri de Sant Andr..."
Piso  Carrer de joan comorera. Finca en vallehermoso- gran piso - balcón tipo terraza.,Barcelona - Sant Andreu,414.000 €,https://www.habitaclia.com/comprar-piso-finca_en_vallehermoso_gran_balcon_tipo_terraza_sant_andreu-barcelona-i32937000000104.htm?f=&from=list&lo=55,"Vivienda en Barcelona, en el barrio carismático de Sant Andreu, zona norte de Barcelona, residencial y muy tranquila con..."
Ático  Carrer de bartrina. Ático con 3 habitaciones con ascensor,Barcelona - Sant Andreu,215.000 €,https://www.habitaclia.com/comprar-atico-con_3_habitaciones_con_ascensor_sant_andreu-barcelona-i4553004323338.htm?f=&from=list&lo=55,"75m² útiles con excelente distribución sin pasillos, consta de salón-comedor amplio, 3 habitaciones ( 1 de ellas doble),..."
Piso  en  Carrer de neopàtria 57. Al centre del barri,Barcelona - Sant Andreu,235.000 €,https://www.habitaclia.com/comprar-piso-al_centre_del_barri_calle_de_neopatria_57_sant_andreu-barcelona-i10024004256950.htm?f=&from=list&lo=55,"Pis de 67m2, per entrar a viure.  Al centre del barri de Sant Andreu, al costat del carrer principal, en un carrer semi..."
Piso  Carrer del pare manyanet. Finca joven con vistas panorámicas en excelente zona.,Barcelona - Sant Andreu,461.000 €,https://www.habitaclia.com/comprar-piso-finca_joven_con_vistas_panoramicas_en_excelente_zona_sant_andreu-barcelona-i32937000000105.htm?f=&from=list&lo=55,"Inmueble exclusivo en Barcelona, en el barrio carismático de Sant Andreu, la parte norte de Barcelona, y sur de Sant And..."
"CORTIT, 10",Barcelona - La Sagrera,390.000 €,https://www.habitaclia.com/obra_nueva-viviendas-en-barcelona/promo_36459004101629?from=list&lo=56,"Edificio viviendas  en Barcelona, Edificio viviendas La Sagrera Barcelona de 104 m 2  por 390.000 €..."
"Piso  en  Sant Andreu. Piso con 2 habitaciones con ascensor, calefacción y aire acondic",Barcelona - Sant Andreu,235.000 €,https://www.habitaclia.com/comprar-piso-con_2_habitaciones_con_ascensor_calefaccion_y_aire_acondic_sant_andreu-barcelona-i4553004323337.htm?pag=1&f=&from=list&lo=55,"Piso en venta Zona Sant Andreu.  Salón-comedor amplio, cocina con lavadero, baño completo, 2 dormitorios y 1 estudio...."
