,Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
0,ACCIONA,138.2,-1.0,141.4,136.3,41214.0,5702.05,21/02/2022,15:41:33
1,ACERINOX,11.305,-1.78,11.765,11.245,605916.0,6934.31,21/02/2022,15:42:42
2,ACS,22.05,-1.21,22.58,21.88,401711.0,8937.5,21/02/2022,15:42:31
3,AENA,150.35,0.53,152.15,148.7,35355.0,5313.97,21/02/2022,15:42:46
4,ALMIRALL,11.81,11.21,11.82,10.72,1100096.0,12690.35,21/02/2022,15:42:31
5,AMADEUS,60.86,-0.78,62.48,60.16,181530.0,11102.11,21/02/2022,15:42:45
6,ARCELORMIT.,26.04,-3.2,27.415,25.83,632252.0,16713.77,21/02/2022,15:42:23
7,B.SANTANDER,3.28,-1.26,3.379,3.254,20057455.0,66375.76,21/02/2022,15:42:46
8,BA.SABADELL,0.888,-1.81,0.9218,0.8822,16735123.0,15064.72,21/02/2022,15:42:42
9,BANKINTER,5.546,-1.56,5.704,5.506,1180356.0,6600.98,21/02/2022,15:41:59
10,BBVA,5.632,-1.4,5.806,5.592,11048444.0,62864.97,21/02/2022,15:42:48
11,CAIXABANK,3.199,-1.14,3.281,3.178,10087924.0,32583.07,21/02/2022,15:42:39
12,CELLNEX,38.54,0.57,38.91,38.16,524310.0,20229.43,21/02/2022,15:42:42
13,CIE AUTOMOT.,25.0,-3.18,26.12,24.74,112879.0,2865.47,21/02/2022,15:42:43
14,ENAGAS,18.345,0.19,18.4,18.155,565625.0,10341.94,21/02/2022,15:42:38
15,ENDESA,18.325,-2.37,18.8,18.3,369781.0,6873.47,21/02/2022,15:42:50
16,FERROVIAL,24.69,0.41,25.02,24.34,768577.0,18974.65,21/02/2022,15:42:24
17,FLUIDRA,25.3,0.2,25.6,24.95,220660.0,5577.34,21/02/2022,15:38:49
18,GRIFOLS CL.A,14.585,-0.1,14.975,14.505,427201.0,6304.99,21/02/2022,15:39:29
19,IAG,1.914,-1.69,2.014,1.9135,16878164.0,33101.45,21/02/2022,15:42:50
20,IBERDROLA,9.116,-1.87,9.364,9.066,1912264.0,17596.37,21/02/2022,15:42:30
21,INDITEX,25.03,-1.26,25.57,24.82,649625.0,16355.98,21/02/2022,15:42:42
22,INDRA A,9.245,1.99,9.31,9.105,495055.0,4565.39,21/02/2022,15:42:30
23,INM.COLONIAL,7.555,-1.05,7.7,7.52,169826.0,1287.78,21/02/2022,15:37:06
24,MAPFRE,1.8785,-0.87,1.9265,1.8665,3480473.0,6594.48,21/02/2022,15:41:42
25,MELIA HOTELS,7.036,-1.12,7.27,6.984,524786.0,3731.81,21/02/2022,15:42:40
26,MERLIN,10.125,-0.74,10.33,10.045,345133.0,3507.86,21/02/2022,15:42:40
27,NATURGY,23.21,-4.41,24.12,23.16,809660.0,19051.18,21/02/2022,15:42:40
28,PHARMA MAR,54.2,0.41,54.8,53.28,52629.0,2848.19,21/02/2022,15:41:34
29,R.E.C.,16.775,-1.15,16.96,16.725,458499.0,7718.65,21/02/2022,15:41:21
30,REPSOL,11.6,-1.14,11.818,11.53,2501889.0,29173.09,21/02/2022,15:42:48
31,ROVI,69.9,2.34,70.3,68.3,65884.0,4586.68,21/02/2022,15:41:34
32,SIEMENS GAME,16.02,-1.6,16.56,15.85,786422.0,12628.08,21/02/2022,15:41:55
33,SOLARIA,13.065,-2.57,13.595,12.9,478604.0,6323.06,21/02/2022,15:41:37
34,TELEFONICA,4.3015,-1.54,4.38,4.2835,5090580.0,22089.86,21/02/2022,15:42:49
